"Site Crawled","https://almapay.com/"
"Start Date","2026-05-13"
"Start Time","11:27:32"
"Last Modified Date","2026-05-13"
"Last Modified Time","11:58:26"
"Elapsed","00:30:50"
"Report Date","2026-05-13"
"Report Time","11:58:27"
""
"Summary","URLs","% of Total","Total URLs","Total URLs Description"
"Total URLs Encountered","2370","100.00%","2370","URLs Encountered"
"Total URLs Crawled","2357","99.45%","2370","URLs Encountered"
"Total Internal blocked by robots.txt","0","0.00%","2370","URLs Encountered"
"Total External blocked by robots.txt","13","0.55%","2370","URLs Encountered"
""
"URLs Displayed","2370","100.00%","2370","URLs Displayed"
"Total Internal URLs","700","29.54%","2370","URLs Displayed"
"Total External URLs","1670","70.46%","2370","URLs Displayed"
"Total Internal Indexable URLs","635","26.79%","2370","URLs Displayed"
"Total Internal Non-Indexable URLs","65","2.74%","2370","URLs Displayed"
""
"Internal"
"All","700","100.00%","700","Internal URLs"
"HTML","640","91.43%","700","Internal URLs"
"JavaScript","28","4.00%","700","Internal URLs"
"CSS","1","0.14%","700","Internal URLs"
"Images","29","4.14%","700","Internal URLs"
"Media","0","0.00%","700","Internal URLs"
"Fonts","0","0.00%","700","Internal URLs"
"XML","2","0.29%","700","Internal URLs"
"PDF","0","0.00%","700","Internal URLs"
"Plugins","0","0.00%","700","Internal URLs"
"Other","0","0.00%","700","Internal URLs"
"Unknown","0","0.00%","700","Internal URLs"
""
"External"
"All","1670","100.00%","1670","External URLs"
"HTML","311","18.62%","1670","External URLs"
"JavaScript","0","0.00%","1670","External URLs"
"CSS","1","0.06%","1670","External URLs"
"Images","1272","76.17%","1670","External URLs"
"Media","0","0.00%","1670","External URLs"
"Fonts","0","0.00%","1670","External URLs"
"XML","0","0.00%","1670","External URLs"
"PDF","12","0.72%","1670","External URLs"
"Plugins","0","0.00%","1670","External URLs"
"Other","61","3.65%","1670","External URLs"
"Unknown","13","0.78%","1670","External URLs"
""
"Security"
"All","700","100.00%","700","All internal and non-HTML external URLs"
