"Issue Name","Issue Type","Issue Priority","URLs","% of Total","Description","How To Fix","Help URL"
"H2: Multiple","Warning","Low","416","68.650","Pages which have multiple <h2>s. This is not an issue as HTML standards allow multiple <h2>'s when used in a logical hierarchical heading structure. However, this filter can help you quickly scan to review if they are used appropriately.","Ensure <h2>s are used in a logical hierarchical heading structure, and update where appropriate utilising the full heading rank between (h3 - h6) for additional headings.",""
"H2: Missing","Warning","Low","130","21.450","Pages which have a missing <h2>, the content is empty or has a whitespace. The <h2> heading is often used to describe sections or topics within a document. They act as signposts for the user, and can help search engines understand the page.","Consider using logical and descriptive <h2>s on important pages that help the user and search engines better understand the page.",""
"Meta Description: Duplicate","Opportunity","Low","244","40.260","Pages which have duplicate meta descriptions. It's really important to have distinct and unique meta descriptions that communicate the benefits and purpose of each page. If they are duplicate or irrelevant, then they will be ignored by search engines in their snippets.","Update duplicate meta descriptions as necessary, so important pages contain a unique and descriptive title for users and search engines. If these are duplicate pages, then fix the duplicated pages by linking to a single version, and redirect or use canonicals where appropriate.",""
"Hreflang: Noindex Return Links","Issue","High","25","4.130","URLs with return links which have a 'noindex' meta tag. All pages within a set should be indexable, and hence any return URLs with 'noindex' may result in the hreflang relationship being ignored. The noindex return links URLs can be seen in the lower window 'URL Details' pane with a 'noindex' confirmation status. They can be exported in bulk via the 'Reports > Hreflang > Noindex Return Links' export.","Update hreflang annotations to include indexable URLs only. They should not include links which are 'noindex'.",""
"URL: Over 115 Characters","Opportunity","Low","2","0.280","URLs that are more than the configured length. This is generally not an issue, however research has shown that users prefer shorter, concise URL strings.","Where possible use logical and concise URLs for users and search engines. However, changing URLs is a big decision, and often it's not worth changing them for SEO purposes alone. If URLs are changed, then appropriate 301 redirects must be implemented.",""
"H1: Over 70 Characters","Opportunity","Low","48","7.920","Pages which have <h1>s over the configured length. There is no hard limit for characters in an <h1>, however they should be clear and concise for users and long headings might be less helpful","Write concise <h1>s for users, including target keywords where natural for users - without keyword stuffing.",""
"Response Codes: Internal Client Error (4xx)","Issue","High","15","0.630","Internal URLs with a client-side error. This indicates a problem occurred with the URL request and can include responses such as 400 bad request, 403 Forbidden, 404 Page Not Found, 410 Removed, 429 Too Many Requests and more. A 404 'Page Not Found' is the most common, and often referred to as a broken link. View URLs that link to errors using the lower 'inlinks' tab and export them in bulk via 'Bulk Export > Response Codes > Internal > Client Error (4xx) inlinks'.","All links on a website should ideally resolve to 200 'OK' URLs. Errors such as a 404 or 410 should be updated to their correct locations, removed and redirected where appropriate. A 403 forbidden error occurs when a web server denies access to the SEO Spider's request and can often be resolved by switching the user-agent to Chrome via 'Config > User-Agent' and crawling again.",""
"Hreflang: Non-200 hreflang URLs","Issue","High","18","2.970","URLs contained within rel=""alternate"" hreflang annotations that do not have a 200 response code, such as URLs blocked by robots.txt, no responses, 3XX (redirects), 4XX (client errors) or 5XX (server errors). Hreflang URLs must be crawlable and indexable and therefore non-200 URLs are treated as errors, and ignored by the search engines. The non-200 hreflang URLs can be seen in the lower window 'URL Details' pane with a 'non-200' confirmation status. They can be exported in bulk via the 'Reports > Hreflang > Non-200 Hreflang URLs' export.","Ensure URLs within hreflang annotations are to the correct canonical and indexable pages. If Google can't see pages pointing to each other due to a non-200 response, the tags will be ignored.",""
"Links: Non-Descriptive Anchor Text In Internal Outlinks","Opportunity","Low","4","0.660","Pages that have internal outlinks with anchor text that is not descriptive, such as 'click here' or 'learn more' based upon the preferences under 'Config > Spider > Preferences'. Anchor text is the visible text and words used in hyperlinks that provide users and search engines context about the content of the target page. Internal outlinks with non-descriptive anchor text can be seen in the 'Outlinks' tab, with the 'All Link Types' filter set to 'Hyperlinks', where the 'Anchor Text' column has words such as 'click here', or 'learn more'. Export in bulk via 'Bulk Export > Links > Non-Descriptive Anchor Text In Internal Outlinks'.","Review the non-descriptive anchor text in outlinks and where appropriate update them to include useful and descriptive anchor text to help provide context to both users and search engines.",""
"Meta Description: Below 400 Pixels","Opportunity","Low","9","1.490","Pages which have meta descriptions much shorter than Google's estimated pixel length limit. This isn't necessarily an issue, but it does indicate there might be room to communicate benefits, USPs or call to actions.","Consider updating the meta description to take advantage of the space left to include additional benefits, USPs or call to actions to improve click through rates (CTR).",""
"Content: Readability Very Difficult","Opportunity","Low","44","7.260","Copy on the page is very difficult to read and best understood by university graduates according to the Flesch reading-ease score formula. Copy that has long sentences and uses complex words are generally harder to read and understand.","Consider improving the readability of copy for your target audience. Copy that uses shorter sentences with less complex words is often easier to read and understand.",""
"Structured Data: Parse Errors","Issue","High","316","52.150","URLs which have structured data that failed to parse correctly. This is often due to incorrect mark-up in the structured data, which might impact search engines' ability to interpret it reliably.","Review and resolve any issues in the structured data markup, so that they can be parsed reliably. Debug parsing errors using the JSON-LD Playground tool or Schema Markup Validator.",""
"Hreflang: Missing X-Default","Warning","Low","388","64.030","URLs missing an x-default hreflang attribute. This is optional, and not necessarily an issue.","Consider adding a fallback page for unmatched languages, especially on language/country selectors or auto-redirecting homepages.",""
"Security: Unsafe Cross-Origin Links","Warning","Low","24","3.400","URLs that link to external websites using the target=""_blank"" attribute (to open in a new tab), without using rel=""noopener"" (or rel=""noreferrer"") at the same time. Using target=""_blank"" alone leaves those pages exposed to both security and performance issues for some legacy browsers, which are estimated to be below 5% of market share. Setting target=""_blank"" on <a> elements implicitly provides the same rel behavior as setting rel=""noopener"" which does not set window.opener for most modern browsers, such as Chrome, Safari, Firefox and Edge.  The external links that contain the target=""_blank"" attribute by itself can be viewed in the 'outlinks' tab and 'target' column. They can be exported alongside the pages they are linked from via 'Bulk Export > Security > Unsafe Cross-Origin Links'.","Consider the benefits of including the rel=""noopener"" link attribute on any links that contain the target=""_blank"" attribute to avoid security and performance issues for the users of legacy browsers that may visit the website.",""
"Page Titles: Below 30 Characters","Opportunity","Medium","96","15.840","Pages which have page titles under the configured limit. This isn't necessarily an issue, but it does indicate there might be room to target additional keywords or communicate your USPs.","Consider updating the page title to take advantage of the space left to include additional target keywords or USPs.",""
"Directives: Noindex","Warning","High","25","3.750","URLs containing a 'noindex' directive in either a robots meta tag or X-Robots-Tag in the HTTP header. This instructs the search engines not to index the page. The page will still be crawled (to see the directive), but it will then be dropped from the index.","URLs with a 'noindex' should be reviewed carefully to ensure they are correct and shouldn't be indexed. If these pages should be indexed, then the 'noindex' directive should be removed.",""
"Page Titles: Same as H1","Opportunity","Low","67","11.060","Page titles which match the h1 on the page exactly. This is not necessarily an issue, but may point to a potential opportunity to target alternative keywords, synonyms, or related key phrases.","This is not necessarily an issue, but may point to a potential opportunity to target alternative keywords, synonyms, or related key phrases.",""
"Security: Missing X-Content-Type-Options Header","Warning","Low","666","94.470","URLs that are missing the 'X-Content-Type-Options' response header with a 'nosniff' value. In the absence of a MIME type, browsers may 'sniff' to guess the content type to interpret it correctly for users. However, this can be exploited by attackers who can try and load malicious code, such as JavaScript via an image they have compromised.","To minimise security issues, the X-Content-Type-Options response header should be supplied and set to 'nosniff'. This instructs browsers to rely only on the Content-Type header and block anything that does not match accurately. This also means the content-type set needs to be accurate.",""
"Hreflang: Missing Self Reference","Warning","Low","32","5.280","URLs missing their own self referencing rel=""alternate"" hreflang annotation. It was previously a requirement to have a self-referencing hreflang, but Google has updated their guidelines to say this is optional. It is however good practice and often easier to include a self referencing attribute.","Consider adding a self referencing rel=""alternate"" hreflang annotation as Google still describe this as best practice in their documentation.",""
"Page Titles: Below 200 Pixels","Opportunity","Medium","40","6.600","Pages which have page titles much shorter than Google's estimated pixel length limit. This isn't necessarily an issue, but it does indicate there might be room to target additional keywords or communicate your USPs.","Consider updating the page title to take advantage of the space left to include additional target keywords or USPs.",""
"Security: Missing Content-Security-Policy Header","Warning","Low","649","92.060","URLs that are missing the Content-Security-Policy response header. This header allows a website to control which resources are loaded for a page. This policy can help guard against cross-site scripting (XSS) attacks that exploit the browser's trust of the content received from the server. The SEO Spider only checks for existence of the header, and does not interrogate the policies found within the header to determine whether they are well set-up for the website. This should be performed manually.","Set a strict Content-Security-Policy response header across all page to help mitigate cross site scripting (XSS) and data injection attacks.",""
"Meta Description: Below 70 Characters","Opportunity","Low","10","1.650","Pages which have meta descriptions below the configured limit. This isn't strictly an issue, but an opportunity. There is additional room to communicate benefits, USPs or call to actions.","Consider updating the meta description to take advantage of the space left to include additional benefits, USPs or call to actions to improve click through rates (CTR).",""
"Structured Data: Rich Result Validation Warnings","Opportunity","Low","345","56.930","URLs that contain Google rich result feature validation warnings. These will always be for 'recommended properties', rather than required properties. Recommended properties can be included to add more information about content which could provide a better user experience, but they do not disqualify you from being eligible for rich snippets.","Consider warnings as 'opportunities' to improve the data provided to search engines and users to potentially enhance special search result features in Google. Review the 'Structured Data Details' tab for more information on specific warnings and refer to Google rich result feature docs where necessary. Export unique validation errors using 'Reports > Structured Data > Validation Errors & Warnings Summary'.",""
"H2: Over 70 Characters","Opportunity","Low","47","7.760","Pages which have <h2>s over the configured limit. There is no hard limit for characters in an <h2>, however they should be clear and concise for users and long headings might be less helpful","Write concise <h2>s for users, including target keywords where natural for users - without keyword stuffing.",""
"Meta Description: Over 155 Characters","Opportunity","Low","32","5.280","Pages which have meta descriptions over the configured limit. Characters over this limit might be truncated in Google's search results.","Write concise meta descriptions to ensure important words are not truncated in the search results, and not visible to users.",""
"Structured Data: Validation Errors","Issue","High","345","56.930","URLs that contain structured data validation errors related to Schema.org. Schema.org validation includes checks against whether the types and properties exist against main and pending Schema vocabulary and will show 'errors' for any issues encountered.","Resolve validation errors to ensure pages have valid structured data and are eligible for special search result features in Google. Review the 'Structured Data Details' tab for more information on specific errors and refer to Schema.org specifications where necessary. Export unique validation errors using 'Reports > Structured Data > Validation Errors & Warnings Summary' and test in the Schema Markup Validator.",""
"URL: Contains Space","Issue","Low","2","0.280","URLs that contain a space. These are considered unsafe and could cause the link to be broken when sharing the URL. Hyphens should be used as word separators instead of spaces.","Ideally hyphens should be used as word separators, rather than spaces. However, changing URLs is a big decision. If URLs are changed, then appropriate 301 redirects must be implemented.",""
"Images: Over 100 kB","Opportunity","Medium","465","35.520","Large images over a size threshold. Page speed is extremely important for users and SEO and often large resources such as images are one of the most common issues that slow down web pages. This filter simply acts as a general rule of thumb to help identify images that are fairly large in file size and may take longer to load. These should be considered for optimisation, alongside opportunities identified in the PageSpeed tab which uses the PSI API and Lighthouse to audit speed. This can help identify images that haven't been optimised in size, load offscreen, are unoptimised etc.","Uncompressed images bloat pages with unnecessary bytes, so ensure images are optimised with compression, properly scaled, and using the best image format to reduce file size where possible.",""
"Content: Near Duplicates","Warning","Medium","100","16.500","Pages that are near duplicate in content based upon the configured similarity threshold using the minhash algorithm. The threshold can be adjusted under 'Config > Content > Duplicates' and is set at 90% by default. The 'Closest Near Duplicate Match' column displays the highest percentage of similarity to another page. The 'No. Near Duplicates' column displays the number of pages that are similar to the page based upon the similarity threshold. The algorithm is run against text on the page, rather than the full HTML like exact duplicates. The content used for this analysis can be configured under 'Config > Content > Area'. Pages can have a 100% similarity, but only be a 'near duplicate' rather than exact duplicate. This is because exact duplicates are excluded as near duplicates, to avoid them being flagged twice. Similarity scores are also rounded, so 99.5% or higher will be displayed as 100%. To populate this column the 'Enable Near Duplicates' configuration must be selected via 'Config > Content > Duplicates', and post 'Crawl Analysis' must be performed.","Having very similar pages can cause cannibalisation issues and crawling and indexing inefficiencies. Very similar pages should be minimised and high similarity could be a sign of low-quality pages, which haven't received much love - or just shouldn't be separate pages in the first place. Analyse the near duplicates, considering importance of the page and scale. Then improve content to make more unique if necessary, or consolidate, block, remove, or leave as they are where appropriate.",""
"Sitemaps: Non-Indexable URLs in Sitemap","Issue","Medium","24","3.710","URLs that are in an XML Sitemap, but are non-indexable, and hence should be removed, or their indexability needs to be fixed.","XML Sitemaps should only include indexable pages. Remove non-indexable URLs from the XML Sitemap or update to the correct canonical versions.",""
