crawl_date,metric,value,percentage
2026-04-12,Site Crawled,http://spilou.com/,
2026-04-12,Start Date,2026-04-12,
2026-04-12,Start Time,22:20:09,
2026-04-12,Last Modified Date,2026-04-12,
2026-04-12,Last Modified Time,22:20:26,
2026-04-12,Elapsed,00:00:16,
2026-04-12,Report Date,2026-04-12,
2026-04-12,Report Time,22:20:26,
2026-04-12,Summary,URLs,% of Total
2026-04-12,Total URLs Encountered,266,100.00%
2026-04-12,Total URLs Crawled,228,85.71%
2026-04-12,Total Internal blocked by robots.txt,0,0.00%
2026-04-12,Total External blocked by robots.txt,38,14.29%
2026-04-12,URLs Displayed,266,100.00%
2026-04-12,Total Internal URLs,130,48.87%
2026-04-12,Total External URLs,136,51.13%
2026-04-12,Total Internal Indexable URLs,86,32.33%
2026-04-12,Total Internal Non-Indexable URLs,44,16.54%
2026-04-12,All,130,100.00%
2026-04-12,HTML,87,66.92%
2026-04-12,JavaScript,1,0.77%
2026-04-12,CSS,3,2.31%
2026-04-12,Images,38,29.23%
2026-04-12,Media,0,0.00%
2026-04-12,Fonts,0,0.00%
2026-04-12,XML,0,0.00%
2026-04-12,PDF,0,0.00%
2026-04-12,Plugins,0,0.00%
2026-04-12,Other,1,0.77%
2026-04-12,Unknown,0,0.00%
2026-04-12,All,136,100.00%
2026-04-12,HTML,56,41.18%
2026-04-12,JavaScript,0,0.00%
2026-04-12,CSS,0,0.00%
2026-04-12,Images,0,0.00%
2026-04-12,Media,0,0.00%
2026-04-12,Fonts,0,0.00%
2026-04-12,XML,0,0.00%
2026-04-12,PDF,0,0.00%
2026-04-12,Plugins,0,0.00%
2026-04-12,Other,42,30.88%
2026-04-12,Unknown,38,27.94%
2026-04-12,All,130,100.00%
2026-04-12,HTTP URLs,1,0.77%
2026-04-12,HTTPS URLs,129,99.23%
2026-04-12,Mixed Content,0,0.00%
2026-04-12,Form URL Insecure,0,0.00%
2026-04-12,Form on HTTP URL,0,0.00%
2026-04-12,Unsafe Cross-Origin Links,0,0.00%
2026-04-12,Protocol-Relative Resource Links,0,0.00%
2026-04-12,Missing HSTS Header,0,0.00%
2026-04-12,Missing Content-Security-Policy Header,86,66.15%
2026-04-12,Missing X-Content-Type-Options Header,86,66.15%
2026-04-12,Missing X-Frame-Options Header,86,66.15%
2026-04-12,Missing Secure Referrer-Policy Header,86,66.15%
2026-04-12,Bad Content Type,0,0.00%
2026-04-12,All,266,100.00%
2026-04-12,Blocked by Robots.txt,38,14.29%
2026-04-12,Blocked Resource,0,0.00%
2026-04-12,No Response,0,0.00%
2026-04-12,Success (2xx),98,36.84%
2026-04-12,Redirection (3xx),126,47.37%
2026-04-12,Redirection (JavaScript),0,0.00%
2026-04-12,Redirection (Meta Refresh),0,0.00%
2026-04-12,Redirection (HTTP Refresh),0,0.00%
2026-04-12,Client Error (4xx),3,1.13%
2026-04-12,Server Error (5xx),0,0.00%
2026-04-12,Internal All,130,48.87%
2026-04-12,Internal Blocked by Robots.txt,0,0.00%
2026-04-12,Internal Blocked Resource,0,0.00%
2026-04-12,Internal No Response,0,0.00%
2026-04-12,Internal Success (2xx),86,32.33%
2026-04-12,Internal Redirection (3xx),44,16.54%
2026-04-12,Internal Redirection (JavaScript),0,0.00%
2026-04-12,Internal Redirection (Meta Refresh),0,0.00%
2026-04-12,Internal Redirection (HTTP Refresh),0,0.00%
2026-04-12,Internal Redirect Chain,0,0.00%
2026-04-12,Internal Redirect Loop,0,0.00%
2026-04-12,Internal Client Error (4xx),0,0.00%
2026-04-12,Internal Server Error (5xx),0,0.00%
2026-04-12,External All,136,51.13%
2026-04-12,External Blocked by Robots.txt,38,14.29%
2026-04-12,External Blocked Resource,0,0.00%
2026-04-12,External No Response,0,0.00%
2026-04-12,External Success (2xx),12,4.51%
2026-04-12,External Redirection (3xx),82,30.83%
2026-04-12,External Redirection (JavaScript),0,0.00%
2026-04-12,External Redirection (Meta Refresh),0,0.00%
2026-04-12,External Redirection (HTTP Refresh),0,0.00%
2026-04-12,External Client Error (4xx),3,1.13%
2026-04-12,External Server Error (5xx),0,0.00%
2026-04-12,All,130,100.00%
2026-04-12,Non ASCII Characters,0,0.00%
2026-04-12,Underscores,0,0.00%
2026-04-12,Uppercase,0,0.00%
2026-04-12,Multiple Slashes,0,0.00%
2026-04-12,Repetitive Path,0,0.00%
2026-04-12,Contains Space,0,0.00%
2026-04-12,Internal Search,0,0.00%
2026-04-12,Parameters,0,0.00%
2026-04-12,Broken Bookmark,0,0.00%
2026-04-12,GA Tracking Parameters,0,0.00%
2026-04-12,Over 115 Characters,0,0.00%
2026-04-12,All,44,100.00%
2026-04-12,Missing,0,0.00%
2026-04-12,Duplicate,0,0.00%
2026-04-12,Over 60 Characters,3,6.82%
2026-04-12,Below 30 Characters,6,13.64%
2026-04-12,Over 561 Pixels,3,6.82%
2026-04-12,Below 200 Pixels,1,2.27%
2026-04-12,Same as H1,37,84.09%
2026-04-12,Multiple,0,0.00%
2026-04-12,Outside <head>,0,0.00%
2026-04-12,All,44,100.00%
2026-04-12,Missing,0,0.00%
2026-04-12,Duplicate,2,4.55%
2026-04-12,Over 155 Characters,33,75.00%
2026-04-12,Below 70 Characters,0,0.00%
2026-04-12,Over 985 Pixels,28,63.64%
2026-04-12,Below 400 Pixels,0,0.00%
2026-04-12,Multiple,0,0.00%
2026-04-12,Outside <head>,0,0.00%
2026-04-12,All,44,100.00%
2026-04-12,Missing,44,100.00%
2026-04-12,Duplicate,0,0.00%
2026-04-12,Multiple,0,0.00%
2026-04-12,All,44,100.00%
2026-04-12,Missing,0,0.00%
2026-04-12,Duplicate,0,0.00%
2026-04-12,Over 70 Characters,0,0.00%
2026-04-12,Multiple,0,0.00%
2026-04-12,Alt Text in H1,0,0.00%
2026-04-12,Non-Sequential,0,0.00%
2026-04-12,All,44,100.00%
2026-04-12,Missing,3,6.82%
2026-04-12,Duplicate,2,4.55%
2026-04-12,Over 70 Characters,5,11.36%
2026-04-12,Multiple,41,93.18%
2026-04-12,Non-Sequential,1,2.27%
2026-04-12,All,44,100.00%
2026-04-12,Exact Duplicates,0,0.00%
2026-04-12,Near Duplicates,0,0.00%
2026-04-12,Semantically Similar,0,0.00%
2026-04-12,Low Relevance Content,0,0.00%
2026-04-12,Low Content Pages,1,2.27%
2026-04-12,Soft 404 Pages,0,0.00%
2026-04-12,Spelling Errors,0,0.00%
2026-04-12,Grammar Errors,0,0.00%
2026-04-12,Readability Difficult,0,0.00%
2026-04-12,Readability Very Difficult,0,0.00%
2026-04-12,Lorem Ipsum Placeholder,0,0.00%
2026-04-12,All,38,100.00%
