crawl_date,metric,value,percentage
2026-04-20,Site Crawled,http://spilou.com/,
2026-04-20,Start Date,2026-04-20,
2026-04-20,Start Time,09:05:13,
2026-04-20,Last Modified Date,2026-04-20,
2026-04-20,Last Modified Time,09:05:37,
2026-04-20,Elapsed,00:00:24,
2026-04-20,Report Date,2026-04-20,
2026-04-20,Report Time,09:05:38,
2026-04-20,Summary,URLs,% of Total
2026-04-20,Total URLs Encountered,266,100.00%
2026-04-20,Total URLs Crawled,228,85.71%
2026-04-20,Total Internal blocked by robots.txt,0,0.00%
2026-04-20,Total External blocked by robots.txt,38,14.29%
2026-04-20,URLs Displayed,266,100.00%
2026-04-20,Total Internal URLs,130,48.87%
2026-04-20,Total External URLs,136,51.13%
2026-04-20,Total Internal Indexable URLs,86,32.33%
2026-04-20,Total Internal Non-Indexable URLs,44,16.54%
2026-04-20,All,130,100.00%
2026-04-20,HTML,87,66.92%
2026-04-20,JavaScript,1,0.77%
2026-04-20,CSS,3,2.31%
2026-04-20,Images,38,29.23%
2026-04-20,Media,0,0.00%
2026-04-20,Fonts,0,0.00%
2026-04-20,XML,0,0.00%
2026-04-20,PDF,0,0.00%
2026-04-20,Plugins,0,0.00%
2026-04-20,Other,1,0.77%
2026-04-20,Unknown,0,0.00%
2026-04-20,All,136,100.00%
2026-04-20,HTML,56,41.18%
2026-04-20,JavaScript,0,0.00%
2026-04-20,CSS,0,0.00%
2026-04-20,Images,0,0.00%
2026-04-20,Media,0,0.00%
2026-04-20,Fonts,0,0.00%
2026-04-20,XML,0,0.00%
2026-04-20,PDF,0,0.00%
2026-04-20,Plugins,0,0.00%
2026-04-20,Other,42,30.88%
2026-04-20,Unknown,38,27.94%
2026-04-20,All,130,100.00%
2026-04-20,HTTP URLs,1,0.77%
2026-04-20,HTTPS URLs,129,99.23%
2026-04-20,Mixed Content,0,0.00%
2026-04-20,Form URL Insecure,0,0.00%
2026-04-20,Form on HTTP URL,0,0.00%
2026-04-20,Unsafe Cross-Origin Links,0,0.00%
2026-04-20,Protocol-Relative Resource Links,0,0.00%
2026-04-20,Missing HSTS Header,0,0.00%
2026-04-20,Missing Content-Security-Policy Header,86,66.15%
2026-04-20,Missing X-Content-Type-Options Header,86,66.15%
2026-04-20,Missing X-Frame-Options Header,86,66.15%
2026-04-20,Missing Secure Referrer-Policy Header,86,66.15%
2026-04-20,Bad Content Type,0,0.00%
2026-04-20,All,266,100.00%
2026-04-20,Blocked by Robots.txt,38,14.29%
2026-04-20,Blocked Resource,0,0.00%
2026-04-20,No Response,0,0.00%
2026-04-20,Success (2xx),98,36.84%
2026-04-20,Redirection (3xx),126,47.37%
2026-04-20,Redirection (JavaScript),0,0.00%
2026-04-20,Redirection (Meta Refresh),0,0.00%
2026-04-20,Redirection (HTTP Refresh),0,0.00%
2026-04-20,Client Error (4xx),3,1.13%
2026-04-20,Server Error (5xx),0,0.00%
2026-04-20,Internal All,130,48.87%
